"date","FXUSDCAD"
"2017-01-03","1.3435"
"2017-01-04","1.3315"
"2017-01-05","1.3244"
"2017-01-06","1.3214"
"2017-01-09","1.3240"
"2017-01-10","1.3213"
"2017-01-11","1.3250"
"2017-01-12","1.3106"
"2017-01-13","1.3141"
"2017-01-16","1.3152"
"2017-01-17","1.3057"
"2017-01-18","1.3099"
"2017-01-19","1.3303"
"2017-01-20","1.3356"
"2017-01-23","1.3291"
"2017-01-24","1.3174"
"2017-01-25","1.3088"
"2017-01-26","1.3103"
"2017-01-27","1.3123"
"2017-01-30","1.3114"
"2017-01-31","1.3030"
"2017-02-01","1.3074"
"2017-02-02","1.3016"
"2017-02-03","1.3016"
"2017-02-06","1.3099"
"2017-02-07","1.3167"
"2017-02-08","1.3157"
"2017-02-09","1.3127"
"2017-02-10","1.3084"
"2017-02-13","1.3082"
"2017-02-14","1.3070"
"2017-02-15","1.3088"
"2017-02-16","1.3055"
"2017-02-17","1.3102"
"2017-02-21","1.3148"
"2017-02-22","1.3181"
"2017-02-23","1.3110"
"2017-02-24","1.3095"
"2017-02-27","1.3118"
"2017-02-28","1.3249"
"2017-03-01","1.3338"
"2017-03-02","1.3387"
"2017-03-03","1.3405"
"2017-03-06","1.3404"
"2017-03-07","1.3417"
"2017-03-08","1.3475"
"2017-03-09","1.3513"
"2017-03-10","1.3464"
"2017-03-13","1.3447"
"2017-03-14","1.3484"
"2017-03-15","1.3428"
"2017-03-16","1.3319"
"2017-03-17","1.3337"
"2017-03-20","1.3358"
"2017-03-21","1.3317"
"2017-03-22","1.3360"
"2017-03-23","1.3336"
"2017-03-24","1.3374"
"2017-03-27","1.3373"
"2017-03-28","1.3374"
"2017-03-29","1.3364"
"2017-03-30","1.3304"
"2017-03-31","1.3310"
"2017-04-03","1.3384"
"2017-04-04","1.3425"
"2017-04-05","1.3409"
"2017-04-06","1.3418"
"2017-04-07","1.3395"
"2017-04-10","1.3349"
"2017-04-11","1.3332"
"2017-04-12","1.3300"
"2017-04-13","1.3275"
"2017-04-17","1.3289"
"2017-04-18","1.3377"
"2017-04-19","1.3460"
"2017-04-20","1.3482"
"2017-04-21","1.3506"
"2017-04-24","1.3492"
"2017-04-25","1.3592"
"2017-04-26","1.3593"
"2017-04-27","1.3624"
"2017-04-28","1.3662"
"2017-05-01","1.3660"
"2017-05-02","1.3720"
"2017-05-03","1.3714"
"2017-05-04","1.3743"
"2017-05-05","1.3712"
"2017-05-08","1.3705"
"2017-05-09","1.3728"
"2017-05-10","1.3672"
"2017-05-11","1.3707"
"2017-05-12","1.3714"
"2017-05-15","1.3641"
"2017-05-16","1.3596"
"2017-05-17","1.3614"
"2017-05-18","1.3611"
"2017-05-19","1.3544"
"2017-05-23","1.3490"
"2017-05-24","1.3460"
"2017-05-25","1.3453"
"2017-05-26","1.3456"
"2017-05-29","1.3446"
"2017-05-30","1.3469"
"2017-05-31","1.3500"
"2017-06-01","1.3500"
"2017-06-02","1.3504"
"2017-06-05","1.3483"
"2017-06-06","1.3461"
"2017-06-07","1.3492"
"2017-06-08","1.3503"
"2017-06-09","1.3453"
"2017-06-12","1.3415"
"2017-06-13","1.3238"
"2017-06-14","1.3209"
"2017-06-15","1.3283"
"2017-06-16","1.3232"
"2017-06-19","1.3220"
"2017-06-20","1.3267"
"2017-06-21","1.3310"
"2017-06-22","1.3241"
"2017-06-23","1.3268"
"2017-06-26","1.3238"
"2017-06-27","1.3188"
"2017-06-28","1.3060"
"2017-06-29","1.3015"
"2017-06-30","1.2977"
"2017-07-04","1.2941"
"2017-07-05","1.2982"
"2017-07-06","1.2946"
"2017-07-07","1.2887"
"2017-07-10","1.2888"
"2017-07-11","1.2920"
"2017-07-12","1.2794"
"2017-07-13","1.2743"
"2017-07-14","1.2672"
"2017-07-17","1.2669"
"2017-07-18","1.2628"
"2017-07-19","1.2595"
"2017-07-20","1.2585"
"2017-07-21","1.2549"
"2017-07-24","1.2512"
"2017-07-25","1.2507"
"2017-07-26","1.2505"
"2017-07-27","1.2520"
"2017-07-28","1.2447"
"2017-07-31","1.2485"
"2017-08-01","1.2514"
"2017-08-02","1.2560"
"2017-08-03","1.2578"
"2017-08-04","1.2638"
"2017-08-08","1.2672"
"2017-08-09","1.2705"
"2017-08-10","1.2711"
"2017-08-11","1.2685"
"2017-08-14","1.2705"
"2017-08-15","1.2755"
"2017-08-16","1.2699"
"2017-08-17","1.2647"
"2017-08-18","1.2586"
"2017-08-21","1.2575"
"2017-08-22","1.2552"
"2017-08-23","1.2564"
"2017-08-24","1.2529"
"2017-08-25","1.2492"
"2017-08-28","1.2482"
"2017-08-29","1.2515"
"2017-08-30","1.2605"
"2017-08-31","1.2536"
"2017-09-01","1.2390"
"2017-09-05","1.2371"
"2017-09-06","1.2264"
"2017-09-07","1.2148"
"2017-09-08","1.2132"
"2017-09-11","1.2128"
"2017-09-12","1.2159"
"2017-09-13","1.2187"
"2017-09-14","1.2198"
"2017-09-15","1.2182"
"2017-09-18","1.2238"
"2017-09-19","1.2277"
"2017-09-20","1.2273"
"2017-09-21","1.2339"
"2017-09-22","1.2317"
"2017-09-25","1.2341"
"2017-09-26","1.2370"
"2017-09-27","1.2412"
"2017-09-28","1.2450"
"2017-09-29","1.2480"
"2017-10-02","1.2505"
"2017-10-03","1.2500"
"2017-10-04","1.2479"
"2017-10-05","1.2548"
"2017-10-06","1.2549"
"2017-10-10","1.2501"
"2017-10-11","1.2498"
"2017-10-12","1.2472"
"2017-10-13","1.2487"
"2017-10-16","1.2529"
"2017-10-17","1.2548"
"2017-10-18","1.2486"
"2017-10-19","1.2478"
"2017-10-20","1.2601"
"2017-10-23","1.2644"
"2017-10-24","1.2666"
"2017-10-25","1.2771"
"2017-10-26","1.2831"
"2017-10-27","1.2874"
"2017-10-30","1.2837"
"2017-10-31","1.2893"
"2017-11-01","1.2885"
"2017-11-02","1.2822"
"2017-11-03","1.2764"
"2017-11-06","1.2746"
"2017-11-07","1.2785"
"2017-11-08","1.2729"
"2017-11-09","1.2692"
"2017-11-10","1.2683"
"2017-11-14","1.2733"
"2017-11-15","1.2773"
"2017-11-16","1.2745"
"2017-11-17","1.2783"
"2017-11-20","1.2793"
"2017-11-21","1.2778"
"2017-11-22","1.2729"
"2017-11-23","1.2715"
"2017-11-24","1.2708"
"2017-11-27","1.2735"
"2017-11-28","1.2807"
"2017-11-29","1.2853"
"2017-11-30","1.2888"
"2017-12-01","1.2729"
"2017-12-04","1.2695"
"2017-12-05","1.2680"
"2017-12-06","1.2757"
"2017-12-07","1.2843"
"2017-12-08","1.2860"
"2017-12-11","1.2854"
"2017-12-12","1.2871"
"2017-12-13","1.2852"
"2017-12-14","1.2805"
"2017-12-15","1.2834"
"2017-12-18","1.2865"
"2017-12-19","1.2886"
"2017-12-20","1.2842"
"2017-12-21","1.2734"
"2017-12-22","1.2759"
"2017-12-27","1.2641"
"2017-12-28","1.2588"
"2017-12-29","1.2545"
"2018-01-02","1.2517"
"2018-01-03","1.2533"
"2018-01-04","1.2515"
"2018-01-05","1.2403"
"2018-01-08","1.2422"
"2018-01-09","1.2454"
"2018-01-10","1.2496"
"2018-01-11","1.2535"
"2018-01-12","1.2504"
"2018-01-15","1.2422"
"2018-01-16","1.2419"
"2018-01-17","1.2425"
"2018-01-18","1.2446"
"2018-01-19","1.2459"
"2018-01-22","1.2458"
"2018-01-23","1.2454"
"2018-01-24","1.2341"
"2018-01-25","1.2323"
"2018-01-26","1.2321"
"2018-01-29","1.2335"
"2018-01-30","1.2328"
"2018-01-31","1.2293"
"2018-02-01","1.2288"
"2018-02-02","1.2380"
"2018-02-05","1.2483"
"2018-02-06","1.2530"
"2018-02-07","1.2546"
"2018-02-08","1.2585"
"2018-02-09","1.2609"
"2018-02-12","1.2603"
"2018-02-13","1.2600"
"2018-02-14","1.2562"
"2018-02-15","1.2507"
"2018-02-16","1.2540"
"2018-02-20","1.2622"
"2018-02-21","1.2671"
"2018-02-22","1.2709"
"2018-02-23","1.2668"
"2018-02-26","1.2686"
"2018-02-27","1.2740"
"2018-02-28","1.2809"
"2018-03-01","1.2851"
"2018-03-02","1.2891"
"2018-03-05","1.2977"
"2018-03-06","1.2898"
"2018-03-07","1.2947"
"2018-03-08","1.2927"
"2018-03-09","1.2840"
"2018-03-12","1.2830"
"2018-03-13","1.2912"
"2018-03-14","1.2944"
"2018-03-15","1.3032"
"2018-03-16","1.3088"
"2018-03-19","1.3079"
"2018-03-20","1.3077"
"2018-03-21","1.2958"
"2018-03-22","1.2908"
"2018-03-23","1.2856"
"2018-03-26","1.2886"
"2018-03-27","1.2869"
"2018-03-28","1.2902"
"2018-03-29","1.2894"
"2018-04-02","1.2908"
"2018-04-03","1.2812"
"2018-04-04","1.2809"
"2018-04-05","1.2776"
"2018-04-06","1.2764"
"2018-04-09","1.2729"
"2018-04-10","1.2618"
"2018-04-11","1.2584"
"2018-04-12","1.2596"
"2018-04-13","1.2597"
"2018-04-16","1.2579"
"2018-04-17","1.2552"
"2018-04-18","1.2614"
"2018-04-19","1.2633"
"2018-04-20","1.2728"
"2018-04-23","1.2833"
"2018-04-24","1.2828"
"2018-04-25","1.2869"
"2018-04-26","1.2862"
"2018-04-27","1.2857"
"2018-04-30","1.2836"
"2018-05-01","1.2867"
"2018-05-02","1.2851"
"2018-05-03","1.2862"
"2018-05-04","1.2861"
"2018-05-07","1.2864"
"2018-05-08","1.2963"
"2018-05-09","1.2856"
"2018-05-10","1.2775"
"2018-05-11","1.2779"
"2018-05-14","1.2775"
"2018-05-15","1.2876"
"2018-05-16","1.2809"
"2018-05-17","1.2801"
"2018-05-18","1.2880"
"2018-05-22","1.2786"
"2018-05-23","1.2876"
"2018-05-24","1.2891"
"2018-05-25","1.2974"
"2018-05-28","1.3001"
"2018-05-29","1.3020"
"2018-05-30","1.2897"
"2018-05-31","1.2948"
"2018-06-01","1.2964"
"2018-06-04","1.2928"
"2018-06-05","1.2993"
"2018-06-06","1.2913"
"2018-06-07","1.2972"
"2018-06-08","1.2962"
"2018-06-11","1.2993"
"2018-06-12","1.3004"
"2018-06-13","1.2988"
"2018-06-14","1.3052"
